path,filename,category,article_or_summary
input_data\BBC News Summary\News Articles\business\053.txt,053.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\054.txt,054.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\055.txt,055.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\056.txt,056.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\057.txt,057.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\058.txt,058.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\059.txt,059.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\060.txt,060.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\061.txt,061.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\062.txt,062.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\063.txt,063.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\064.txt,064.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\065.txt,065.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\066.txt,066.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\067.txt,067.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\068.txt,068.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\069.txt,069.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\070.txt,070.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\071.txt,071.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\072.txt,072.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\073.txt,073.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\074.txt,074.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\075.txt,075.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\076.txt,076.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\077.txt,077.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\078.txt,078.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\079.txt,079.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\080.txt,080.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\081.txt,081.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\082.txt,082.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\083.txt,083.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\084.txt,084.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\085.txt,085.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\086.txt,086.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\087.txt,087.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\088.txt,088.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\089.txt,089.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\090.txt,090.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\091.txt,091.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\092.txt,092.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\093.txt,093.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\094.txt,094.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\095.txt,095.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\096.txt,096.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\097.txt,097.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\098.txt,098.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\099.txt,099.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\100.txt,100.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\101.txt,101.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\102.txt,102.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\103.txt,103.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\104.txt,104.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\105.txt,105.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\106.txt,106.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\107.txt,107.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\108.txt,108.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\109.txt,109.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\110.txt,110.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\111.txt,111.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\112.txt,112.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\113.txt,113.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\114.txt,114.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\115.txt,115.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\116.txt,116.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\117.txt,117.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\118.txt,118.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\119.txt,119.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\120.txt,120.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\121.txt,121.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\122.txt,122.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\123.txt,123.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\124.txt,124.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\125.txt,125.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\126.txt,126.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\127.txt,127.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\128.txt,128.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\129.txt,129.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\130.txt,130.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\131.txt,131.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\132.txt,132.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\133.txt,133.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\134.txt,134.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\135.txt,135.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\136.txt,136.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\137.txt,137.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\138.txt,138.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\139.txt,139.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\140.txt,140.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\141.txt,141.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\142.txt,142.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\143.txt,143.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\144.txt,144.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\145.txt,145.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\146.txt,146.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\147.txt,147.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\148.txt,148.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\149.txt,149.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\150.txt,150.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\151.txt,151.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\152.txt,152.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\153.txt,153.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\154.txt,154.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\155.txt,155.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\156.txt,156.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\157.txt,157.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\158.txt,158.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\159.txt,159.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\160.txt,160.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\161.txt,161.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\162.txt,162.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\163.txt,163.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\164.txt,164.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\165.txt,165.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\166.txt,166.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\167.txt,167.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\168.txt,168.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\169.txt,169.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\170.txt,170.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\171.txt,171.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\172.txt,172.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\173.txt,173.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\174.txt,174.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\175.txt,175.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\176.txt,176.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\177.txt,177.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\178.txt,178.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\179.txt,179.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\180.txt,180.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\181.txt,181.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\182.txt,182.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\183.txt,183.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\184.txt,184.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\185.txt,185.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\186.txt,186.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\187.txt,187.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\188.txt,188.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\189.txt,189.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\190.txt,190.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\191.txt,191.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\192.txt,192.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\193.txt,193.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\194.txt,194.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\195.txt,195.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\196.txt,196.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\197.txt,197.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\198.txt,198.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\199.txt,199.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\200.txt,200.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\201.txt,201.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\202.txt,202.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\203.txt,203.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\204.txt,204.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\205.txt,205.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\206.txt,206.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\207.txt,207.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\208.txt,208.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\209.txt,209.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\210.txt,210.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\211.txt,211.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\212.txt,212.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\213.txt,213.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\214.txt,214.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\215.txt,215.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\216.txt,216.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\217.txt,217.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\218.txt,218.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\219.txt,219.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\220.txt,220.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\221.txt,221.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\222.txt,222.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\223.txt,223.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\224.txt,224.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\225.txt,225.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\226.txt,226.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\227.txt,227.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\228.txt,228.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\229.txt,229.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\230.txt,230.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\231.txt,231.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\232.txt,232.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\233.txt,233.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\234.txt,234.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\235.txt,235.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\236.txt,236.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\237.txt,237.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\238.txt,238.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\239.txt,239.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\240.txt,240.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\241.txt,241.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\242.txt,242.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\243.txt,243.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\244.txt,244.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\245.txt,245.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\246.txt,246.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\247.txt,247.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\248.txt,248.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\249.txt,249.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\250.txt,250.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\251.txt,251.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\252.txt,252.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\253.txt,253.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\254.txt,254.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\255.txt,255.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\256.txt,256.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\257.txt,257.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\258.txt,258.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\259.txt,259.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\260.txt,260.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\261.txt,261.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\262.txt,262.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\263.txt,263.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\264.txt,264.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\265.txt,265.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\266.txt,266.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\267.txt,267.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\268.txt,268.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\269.txt,269.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\270.txt,270.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\271.txt,271.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\272.txt,272.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\273.txt,273.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\274.txt,274.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\275.txt,275.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\276.txt,276.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\277.txt,277.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\278.txt,278.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\279.txt,279.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\280.txt,280.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\281.txt,281.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\282.txt,282.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\283.txt,283.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\284.txt,284.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\285.txt,285.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\286.txt,286.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\287.txt,287.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\288.txt,288.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\289.txt,289.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\290.txt,290.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\291.txt,291.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\292.txt,292.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\293.txt,293.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\294.txt,294.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\295.txt,295.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\296.txt,296.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\297.txt,297.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\298.txt,298.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\299.txt,299.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\300.txt,300.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\301.txt,301.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\302.txt,302.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\303.txt,303.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\304.txt,304.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\305.txt,305.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\306.txt,306.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\307.txt,307.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\308.txt,308.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\309.txt,309.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\310.txt,310.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\311.txt,311.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\312.txt,312.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\313.txt,313.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\314.txt,314.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\315.txt,315.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\316.txt,316.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\317.txt,317.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\318.txt,318.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\319.txt,319.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\320.txt,320.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\321.txt,321.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\322.txt,322.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\323.txt,323.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\324.txt,324.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\325.txt,325.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\326.txt,326.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\327.txt,327.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\328.txt,328.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\329.txt,329.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\330.txt,330.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\331.txt,331.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\332.txt,332.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\333.txt,333.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\334.txt,334.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\335.txt,335.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\336.txt,336.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\337.txt,337.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\338.txt,338.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\339.txt,339.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\340.txt,340.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\341.txt,341.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\342.txt,342.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\343.txt,343.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\344.txt,344.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\345.txt,345.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\346.txt,346.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\347.txt,347.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\348.txt,348.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\349.txt,349.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\350.txt,350.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\351.txt,351.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\352.txt,352.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\353.txt,353.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\354.txt,354.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\355.txt,355.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\356.txt,356.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\357.txt,357.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\358.txt,358.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\359.txt,359.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\360.txt,360.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\361.txt,361.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\362.txt,362.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\363.txt,363.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\364.txt,364.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\365.txt,365.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\366.txt,366.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\367.txt,367.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\368.txt,368.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\369.txt,369.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\370.txt,370.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\371.txt,371.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\372.txt,372.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\373.txt,373.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\374.txt,374.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\375.txt,375.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\376.txt,376.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\377.txt,377.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\378.txt,378.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\379.txt,379.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\380.txt,380.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\381.txt,381.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\382.txt,382.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\383.txt,383.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\384.txt,384.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\385.txt,385.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\386.txt,386.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\387.txt,387.txt,business,News Articles
input_data\BBC News Summary\News Articles\business\388.txt,388.txt,business,News Articles
